Metros	ID	Dir3	LATLON	EXCEL	LATLON
4078	1169	Calle Huesca 31 28020 Madrid (Madrid)	40.4580506,-3.696157	C/ Alcalá, 120. 28009 - MADRID	40.4261635,-3.6723754
0	1170	Acuartelamiento San Cristobal (Villaverde) Avda. Andalucía km 10 28021 Madrid	40.3379078,-3.691317	Acuartelamiento San Cristobal (Villaverde) Avda. Andalucía km 10 28021 Madrid	40.3379078,-3.691317
6	1171	Calle Montalbán 2 28071 Madrid (Madrid)	40.4179984,-3.6921545	Calle de Montalbán, 2, 28014 Madrid	40.4180516,-3.692127
0	1172	Avenida de Madrid, 1, 28670 Villaviciosa de Odón, Madrid	40.3530462,-3.8752884	Avenida de Madrid, 1, 28670 Villaviciosa de Odón, Madrid	40.3530462,-3.8752884
5	47128	Paseo De la Castellana 106 28046 Madrid (Madrid)	40.4453677,-3.6906392	Paseo de la Castellana, 106 28046 MADRID	40.4453205,-3.6906365
412	27799	Calle Poeta Joan Maragall 41 28071 Madrid (Madrid)	40.4603502,-3.6926738	Pº de la Castellana 160. 28046 Madrid	40.4579257,-3.6889917
17	49308	Paseo del Prado 18 y 20, 28014 Madrid	40.4133967,-3.694118	Paseo del Prado, 18-20	40.4132403,-3.6941106
4	46237	Paseo Infanta Isabel 1, 28014 Madrid	40.4086372,-3.6906168	Paseo Infanta Isabel, 1 – Madrid 28014	40.4086668,-3.6906518
0	48083	Ronda Músico Xosé Castiñeira n 26 , 27002 LUGO	42.99874,-7.54876	Ronda Músico Xosé Castiñeira n 26 , 27002 LUGO	42.99874,-7.54876
65	46243	Plaza San Juan de la Cruz s/n 28071 Madrid (Madrid)	40.441279,-3.6938415	Plaza San Juan de la Cruz s/n – Madrid 28071	40.4418079,-3.6935009
1099	1190	Paseo De la Castellana 44 28046 Madrid (Madrid)	40.4682265,-3.6889075	Pº. de la Castellana, 162 28046-Madrid	40.4583462,-3.6893745
44	47272	Calle Amador de los Ríos 8 28071 Madrid (Madrid)	40.4278021,-3.6910673	C/ Amador de los Ríos, 8 28010 - Madrid	40.4275233,-3.6914496
0	46108	C/ Pechuán, 1. 28002 Madrid	40.4445517,-3.6773893	C/ Pechuán, 1. 28002 Madrid	40.4445517,-3.6773893
10	1194	Paseo De la Castellana 160, 28046 Madrid	40.4579287,-3.6888691	Pº de la Castellana 160. 28046 Madrid	40.4579257,-3.6889917
44	47275	Calle Amador de los Ríos 8 28071 Madrid (Madrid)	40.4278021,-3.6910673	C/ Amador de los Ríos, 8 28010 - Madrid	40.4275233,-3.6914496
19	49324	Calle Almagro 33 28071 Madrid (Madrid)	40.4325031,-3.6917344	C/ Almagro, 33 – 5ª Planta 28010 - Madrid	40.4324921,-3.691962
4	49326	Paseo Infanta Isabel 1, 28014 Madrid	40.4086372,-3.6906168	Pº Infanta Isabel, 1 - 28014 Madrid	40.4086668,-3.6906518
7	49328	Avenida Gran Vía de San Francisco 4-6, 28005 Madrid	40.4077415,-3.7121846	Gran Vía de San Francisco, 4 – Madrid 28071	40.4077546,-3.7122717
65	49332	Plaza San Juan de la Cruz s/n 28071 Madrid (Madrid)	40.441279,-3.6938415	Plaza San Juan de la Cruz s/n - Madrid 28071	40.4418079,-3.6935009
102	49333	Plaza San Juan de la Cruz s/n 28071 Madrid (Madrid)	40.4408886,-3.6934286	Plaza San Juan de la Cruz s/n - Madrid 28071	40.4418079,-3.6935009
11	49336	Paseo De la Castellana 67 28071 Madrid (Madrid)	40.4435818,-3.6935795	Paseo de la Castellana 67, 28071 Madrid	40.4435346,-3.6936947
10	1211	Paseo De la Castellana 160, 28046 Madrid	40.4579287,-3.6888691	Pº de la Castellana 160. 28046 Madrid	40.4579257,-3.6889917
3501	1212	Paseo de la Castellana 183 28071 Madrid (Madrid)	40.4639201,-3.69017	Trafalgar 29 - 28010	40.4337086,-3.701799
12	46270	Calle JORGE JUAN 59 28001 Madrid (Madrid)	40.4237313,-3.6791034	C/ Jorge Juan, 59 - 28001 - MADRID	40.423729,-3.6792541
57	46272	Calle Tolosa Latour s/n 28041 Madrid (Madrid)	40.3768691,-3.7016584	Calle del Dr. Tolosa Latour, 7, 28041 Madrid	40.3763998,-3.7019413
0	48106	Avda. de Requejo, 23, 49012 ZAMORA	41.51004,-5.73693	Avda. de Requejo, 23, 49012 ZAMORA	41.51004,-5.73693
50	49352	Calle Alcala 5, 28014 Madrid	40.4174615,-3.7018516	Calle Alcala 9 28071 Madrid (Madrid)	40.4176193,-3.7012871
2	1200	Paseo De la Castellana 162, 28046 Madrid	40.4583429,-3.6893451	Pº. de la Castellana, 162 28046-Madrid	40.4583462,-3.6893745
10	1228	Calle Martín Fierro 5 28040 Madrid (Madrid)	40.4367195,-3.7322106	Calle Martín Fierro 5 28040 Madrid	40.4367474,-3.7323346
431	1232	Plaza Del Rey 1, 28004 Madrid	40.4202074,-3.6964252	Calle Tamayo y Baus 4 28004 Madrid (Madrid)	40.4228732,-3.6927288
1	1234	Plaza Del Rey 1, 28004 Madrid	40.4202074,-3.6964252	Plaza Del Rey 1 28004 Madrid	40.4202202,-3.6964334
1401	35748	Calle Ortega y Gasset 71 28006 Madrid (Madrid)	40.4299766,-3.6732946	C/ Marqués de Riscal, 16	40.4304403,-3.6898368
4	1238	Calle Santa Isabel 52, 28012 Madrid	40.4079189,-3.6945566	Calle Santa Isabel, 52 28012 Madrid	40.4079379,-3.6945986
14	1239	Paseo Recoletos 20-22 28071 Madrid (Madrid)	40.4234912,-3.6893974	Paseo Recoletos 20-22 28071 Madrid	40.4235178,-3.6895604
11	1240	Paseo De la Castellana 67 28071 Madrid (Madrid)	40.4435818,-3.6935795	Paseo de la Castellana 67, 28071 Madrid	40.4435346,-3.6936947
11	1241	Paseo De la Castellana 67 28071 Madrid (Madrid)	40.4435818,-3.6935795	Paseo de la Castellana 67, 28071 Madrid	40.4435346,-3.6936947
3259	49370	Calle Juan de Mena 4 28014 Madrid (Madrid)	40.4172138,-3.6912507	C/ Pechuán, 1. 28002 Madrid	40.4445517,-3.6773893
3	46299	Paseo de la Castellana 272 28071 Madrid (Madrid)	40.4737694,-3.6866869	Pº Castellana, 272	40.4737706,-3.6867269
2894	27868	Carretera de Ajalvir Km. 4 28850 Torrejón de Ardoz (Madrid)	40.4614925,-3.4804522	Carretera de Ajalvir, Km 4 Torrejón	40.4873947,-3.4772241
2867	1245	Calle Ruiz de Alarcón 1 28071 Madrid (Madrid)	40.4178196,-3.6913699	Paseo de la Castellana 67, 28071 Madrid	40.4435346,-3.6936947
11	1247	Paseo De la Castellana 67 28071 Madrid (Madrid)	40.4435818,-3.6935795	Paseo de la Castellana 67, 28071 Madrid	40.4435346,-3.6936947
11	1249	Paseo De la Castellana 67 28071 Madrid (Madrid)	40.4435818,-3.6935795	Paseo de la Castellana 67, 28071 Madrid	40.4435346,-3.6936947
2	46306	Paseo De la Castellana 162, 28046 Madrid	40.4583429,-3.6893451	Pº. de la Castellana, 162 28046-Madrid	40.4583462,-3.6893745
1413	1251	Calle General Ibañez de Íbero 3 28071 Madrid (Madrid)	40.4458348,-3.7101218	Paseo de la Castellana 67, 28071 Madrid	40.4435346,-3.6936947
4919	38	Calle Amador de los Ríos 7 28071 Madrid (Madrid)	40.4274463,-3.691341	C/ Josefa Valcarcel, 28 y 44 28071 - Madrid	40.4482923,-3.6400921
5831	1258	Calle Alfonso XII S/N 28071 Madrid (Madrid)	40.4131767,-3.6887904	Julián Camarillo, 30 - 28037 Madrid	40.4352404,-3.6263175
